text	label
Subject to the terms and conditions set forth herein, at the request of any Account Party the Lenders agree at any time and from time to time during the Availability Period to issue Non-Syndicated Letters of Credit for the account of such Account Party in an aggregate amount that will not result in the Aggregate Credit Exposure exceeding the Commitments (it being understood that Non-Syndicated Letters of Credit may be issued, or be outstanding, for the account of more than one of the Account Parties at any time).	General
The Company is not providing Grantee with advice, warranties, or representations regarding any of the legal, tax, or business effects to Grantee with respect to the Plan or this Award Agreement.  Grantee is encouraged to seek legal, tax, and business advice from Grantee’s own legal, tax, and business advisers as soon as possible.  By accepting this Award and the Shares covered thereby, and by signing this Award Agreement, Grantee acknowledges that Grantee is familiar with the terms of the Award Agreement and the Plan, that Grantee has been encouraged by the Company to discuss the Award and the Plan with Grantee’s own legal, tax, and business advisers, and that Grantee agrees to be bound by the terms of the Plan and the Award Agreement.	Representations
Withholding of all applicable taxes are your responsibility.	Withholdings
No Event of Default or, to the best of the Borrower’s knowledge, Default exists under or with respect to any Loan Document and neither the Borrower nor any other Covered Party is in default in any material respect beyond any applicable grace period under or with respect to any other material agreement, instrument or undertaking to which it is a party or by which it or any of its property is bound in any respect, the existence of which default is likely to result in a Material Adverse Effect.	No Defaults
This Agreement shall inure to the benefit of and be binding upon the Company and its successors and assigns.  Entellus shall seek to have any Successor, by written agreement, assent to the fulfillment by such Successor of Entellus’ obligations under this Agreement. A Successor has no rights, authority or power with respect to this Agreement prior to a Change in Control.	Successors
Subject to the terms of the Intercreditor Agreement, the Guarantors jointly and severally agree that, as between the Guarantors and the Lenders, the obligations of Borrower under this Agreement and the Notes, if any, may be declared to be forthwith due and payable as provided in Section 10.1 (and shall be deemed to have become automatically due and payable in the circumstances provided in Section 10.1) for purposes of Section 12.1, notwithstanding any stay, injunction or other prohibition preventing such declaration (or such obligations from becoming automatically due and payable) as against Borrower and that, in the event of such declaration (or such obligations being deemed to have become automatically due and payable), such obligations (whether or not due and payable by Borrower) shall forthwith become due and payable by the Guarantors for purposes of Section 12.1.	Remedies
All Taxes shall be the financial responsibility of the party obligated to pay such Taxes as determined by applicable law and neither party is or shall be liable at any time for any of the other party’s Taxes incurred in connection with or related to amounts paid under this Agreement. No Tax shall be withheld by the Company on any Net Cash Proceeds payable to the Investors hereunder unless required by law.	Taxes
Interest on Advances shall be payable in arrears (a) on the first day of each month with respect to Domestic Rate Loans, (b) with respect to LIBOR Rate Loans having an Interest Period of one, two or three months, at the end of the applicable Interest Period, and (c) with respect to LIBOR Rate Loans having an Interest Period of six months, at the end of each three month period during such Interest Period, provided that all accrued and unpaid interest shall be due and payable at the end of the Term. Interest charges shall be computed on the actual principal amount of Advances outstanding during the applicable month at a rate per annum equal to (i) with respect to Revolving Advances, the applicable Revolving Interest Rate, and (ii) with respect to Swing Loans, the Revolving Interest Rate for Domestic Rate Loans (as applicable, the “ Contract Rate ”). Except as expressly provided otherwise in this Agreement, any Obligations other than the Advances that are not paid when due shall accrue interest at the Revolving Interest Rate for Domestic Rate Loans, subject to the provision of the final sentence of this Section 3.1 regarding the Default Rate. Whenever, subsequent to the Closing Date, the Alternate Base Rate is increased or decreased, the applicable Contract Rate shall be similarly changed without notice or demand of any kind by an amount equal to the amount of such change in the Alternate Base Rate during the time such change or changes remain in effect. The LIBOR Rate shall be adjusted with respect to LIBOR Rate Loans without notice or demand of any kind on the effective date of any change in the Reserve Percentage as of such effective date. Upon and after the occurrence of an Event of Default, and during the continuation thereof, at the option of Agent or at the direction of Required Lenders (or, in the case of any Event of Default under Section 10.7 hereof, immediately and automatically upon the occurrence of any such Event of Default without the requirement of any affirmative action by any party), the Obligations shall bear interest at the applicable Contract Rate plus two percent (2%) per annum (as applicable, the “ Default Rate ”).	Interests
For purposes of this Section 5.9 , the term “Lender” includes any Issuing Bank and the term “Applicable Law” includes FATCA.	Defined Terms
Seller and Buyer each acknowledge that it has been represented by its own legal counsel in connection with this Agreement and the transactions contemplated by this Agreement. Accordingly, any rule of law, or any legal decision that would require interpretation of any claimed ambiguities in this Agreement against the Party that drafted it, has no application and is expressly waived. The provisions of this Agreement shall be interpreted in a reasonable manner to effect the intent of Seller and Buyer.	Interpretations
If a Disputed Claim is made with respect to a termination of employment occurring during a period beginning on the date of a Change in Control and ending 24 months thereafter, the Participant shall be entitled to reimbursement of Attorneys’ Fees, whether or not the Participant obtains a Judgment or Award. Such reimbursement shall be made on a “pay-as-you-go” basis, as soon as practicable after presentation to the Company in writing of any periodic statements for Attorneys’ Fees, but in no event later than the last day of the Participant’s taxable year following the taxable year in which the applicable Attorneys’ Fees were incurred.	Change In Control
The Borrower agrees (a) to pay or reimburse the Agents for all reasonable and documented out of pocket costs and expenses incurred in connection with the preparation, negotiation, syndication and execution of this Agreement and the other Loan Documents and any amendment, waiver, consent or other modification of the provisions hereof and thereof (whether or not the transactions contemplated thereby are consummated), and the consummation and administration of the transactions contemplated hereby and thereby, including all Attorney Costs of Cahill Gordon & Reindel LLP, and (b) to pay or reimburse the Administrative Agent and the Lenders for all reasonable and documented out-of-pocket costs and expenses incurred in connection with the enforcement of any rights or remedies under this Agreement or the other Loan Documents (including all such costs and expenses incurred during any legal proceeding, including any proceeding under any Debtor Relief Law, and including all Attorney Costs of counsel to the Administrative Agent). The agreements in this Section 10.04 shall survive the termination of the Aggregate Commitments and repayment of all other Obligations. All amounts due under this Section 10.04 shall be paid promptly following receipt by the Borrower of an invoice relating thereto setting forth such expenses in reasonable detail. If any Loan Party fails to pay when due any costs, expenses or other amounts payable by it hereunder or under any Loan Document, such amount may be paid on behalf of such Loan Party by the Administrative Agent in its sole discretion.	Expenses
You shall forfeit your right to receive any unpaid Retention Bonus and the Company shall have no further obligation under this Agreement in the event your employment with the Company and its subsidiaries is terminated for any reason (including your death or disability) other than as set forth in Section 2 hereof.	Forfeitures
Borrower and each Subsidiary has good and indefeasible title to its respective Properties, free and clear of all Liens, except for Permitted Liens.	Titles
Notwithstanding anything in this Agreement to the contrary, the Company’s obligations under Sections 7.4, 7.5 and 7.6 shall terminate if Executive does not execute and deliver to the Company a release substantially in the form attached hereto as Appendix A within [forty-five (45) days] of termination of employment or revokes such release within any applicable revocation period.	Releases
The parties recognize that if any provision of this Agreement is violated by the Company, Indemnitee may be without an adequate remedy at law. Accordingly, in the event of any such violation, Indemnitee shall be entitled, if Indemnitee so elects, to institute Proceedings, either in law or at equity, to obtain damages, to enforce specific performance, to enjoin such violation, or to obtain any relief or any combination of the foregoing as Indemnitee may elect to pursue.	Specific Performance
"(a) Maintain, with financially sound and reputable insurance companies, insurance in such amounts and against such risks as are customarily maintained by similarly situated companies engaged in the same or similar businesses operating in the same or similar locations and cause, subject to the time periods set forth in clause (ix) of the definition of ""Collateral Requirement"" and Schedule 5.02(d) , if applicable, Agent to be listed as a co-loss payee on property and casualty policies and as an additional insured on liability policies."	Insurances
The Borrower has disclosed to the Lenders all material agreements, instruments and corporate or other restrictions to which it or any of its Subsidiaries is subject, and all other matters known to it, that, individually or in the aggregate, could reasonably be expected to result in a Material Adverse Effect.  For the purposes of this Section 3.11 , all materials publicly filed by the Borrower with the SEC shall be deemed to be disclosed to the Lenders.  Neither the Lender Presentation nor any of the other written reports, financial statements, certificates or other information furnished by or on behalf of the Borrower or any Subsidiary to the Administrative Agent or any Lender in connection with the negotiation of this Agreement or delivered hereunder (as modified or supplemented by all other information so furnished and all material publicly filed by the Borrower with the SEC) contains any material misstatement of fact or omits to state any material fact necessary to make the statements therein, in the light of the circumstances under which they were made, not materially misleading; provided that, with respect to forecasts or projected financial information, the Borrower represents only that such information was prepared in good faith based upon assumptions believed to be reasonable at the time (it being understood that forecasts and projections are subject to contingencies and no assurances can be given that any forecast or projection will be realized).	Disclosures
Each of IHS and the Borrower, each other Loan Party (by its execution of the Loan Documents to which it is a party), the Administrative Agent and each Lender acknowledges that each of them has had the benefit of legal counsel of its own choice and has been afforded an opportunity to review the Loan Documents with its legal counsel and that the Loan Documents shall be construed as if jointly drafted by the parties thereto.	Construction
The Company agrees to employ the Executive, and the Executive agrees to render his services to the Company, as its Vice President General Counsel, during the Term (as defined below). In connection with his employment as Vice President General Counsel, the Executive shall serve without additional payment or compensation of any kind as an officer of any other direct or indirect subsidiary or affiliate of the Company designated by the Company’s Chief Executive Officer (collectively, the “Subsidiaries”). The Executive shall render his services at the direction of the Company’s Chief Executive Officer at the Company’s offices in Indianapolis, Indiana. The Executive agrees to use his best efforts to promote and further the business, reputation and good name of the Company and the Subsidiaries (collectively, the “Company Group”) and the Executive shall promptly and faithfully comply with all instructions, directions, requests, rules and regulations made or issued from time to time by the Company.	Employment
Upon (i) delivery to the Administrative Agent of an Assignment Agreement substantially in the form attached as Exhibit C hereto (an “ Assignment ”), together with any consent required by Section 13.03(a), (ii) payment of a $3,500 processing fee to the Administrative Agent for processing such assignment and (iii) recordation of such assignment in the Register as required by Section 13.03(c), such assignment shall become effective on the effective date specified in such Assignment. On and after the effective date of such assignment, such Purchaser shall for all purposes be a Lender party to this Credit Agreement and any other Loan Document executed by the Lenders and shall have all the rights and obligations of a Lender under the Loan Documents, to the same extent as if it were an original party hereto, and no further consent or action by the Borrowers, the Lenders or the Administrative Agent shall be required to release the transferor Lender with respect to the percentage of the Aggregate Commitment, Loans and Participation Interests assigned to such Purchaser.	Effective Dates
This Agreement and all claims, causes of action or proceedings (whether in contract, in tort, at law or otherwise) that may be based upon, arise out of or relate to this Agreement will be governed by the internal laws of the State of Maryland, excluding any conflicts- or choice-of-law rule or principle that might otherwise refer construction or interpretation of this Agreement to the substantive law of another jurisdiction.	Jurisdictions
With the exception of Base Rate Loans, interest on Loans, Letter of Credit fees, Related Expenses, and commitment and other fees and charges hereunder shall be computed on the basis of a year having three hundred sixty (360) days and calculated for the actual number of days elapsed. With respect to Base Rate Loans, interest shall be computed on the basis of a year having three hundred sixty‑five (365) days or three hundred sixty‑six (366) days, as the case may be, and calculated for the actual number of days elapsed.	Fees
This Agreement shall be construed and interpreted pursuant to the internal laws of the State of Michigan, without regard to principles of conflicts of laws. The terms and exclusions of the Company’s Alternative Dispute Resolution Policy apply to any and all disputes under this Agreement.	Applicable Laws
Interest is payable monthly on the last calendar day of each month and shall be computed on the basis of a 360-day year for the actual number of days elapsed. In computing interest, (i) all payments received after 12:00 p.m. Pacific time on any day shall be deemed received at the opening of business on the next Business Day, and (ii) the date of the making of any Credit Extension shall be included and the date of payment shall be excluded; provided , however , that if any Credit Extension is repaid on the same day on which it is made, such day shall be included in computing interest on such Credit Extension.	Payments
Landlord and Tenant represent that, except for Avison Young, representing Landlord, the parties have not dealt with any real estate broker, sales person or finder in connection with this Amendment, and no other real estate broker initiated or participated in the negotiation of this Amendment. Tenant agrees to indemnify and hold harmless Landlord from and against any liabilities (including, without limitation, reasonable attorneys’ fees and expenses) and claims for commissions and fees arising out of a breach of the foregoing representation.	Brokers
Any Lender may at any time, without the consent of, or notice to, the Borrower or the Administrative Agent, sell participations to any Person (other than a natural Person (or a holding company, investment vehicle or trust for, or owned and operated for the primary benefit of, a natural Person), the Borrower or any of the Borrower’s Affiliates or Subsidiaries) (each, a “ Participant ”) in all or a portion of such Lender’s rights and/or obligations under this Agreement (including all or a portion of its Commitment and/or the Loans owing to it); provided that (i) such Lender’s obligations under this Agreement shall remain unchanged, (ii) such Lender shall remain solely responsible to the other parties hereto for the performance of such obligations and (iii) the Borrower, the Administrative Agent, the Issuing Lenders, the Swingline Lender and the other Lenders shall continue to deal solely and directly with such Lender in connection with such Lender’s rights and obligations under this Agreement. For the avoidance of doubt, each Lender shall be responsible for the indemnity under Section 11.3(c) with respect to any payments made by such Lender to its Participant(s).	Participations
No government authorization, consent, approval, license, exemption of or filing or registration with any court or governmental department, commission, board, bureau, agency or instrumentality, domestic or foreign, under any applicable laws, rules or regulations currently in effect, is or will be necessary for, or in connection with, the transaction contemplated by this Agreement or any other agreement or instrument executed in connection herewith, or for the performance by it or its obligations under this Agreement and such other agreements.	Consents
(a) With respect to any owned real property or fixtures thereon, in each case with a purchase price or a fair market value at the time of acquisition of at least $ 2,000,000 7,500,000 , in which any Loan Party acquires ownership rights at any time after the Closing Date, promptly grant to the Collateral Agent for the benefit of the Secured Parties, a Lien of record on all such owned real property and fixtures, upon terms reasonably satisfactory in form and substance to the Collateral Agent and in accordance with any applicable requirements of any Governmental Authority (including any required appraisals of such property under FIRREA or flood determinations under Regulation H of the Board); provided that (i) nothing in this Subsection 7.9 shall defer or impair the attachment or perfection of any security interest in any Collateral covered by any of the Security Documents which would attach or be perfected pursuant to the terms thereof without action by the Parent Borrower, any of its Restricted Subsidiaries or any other Person and (ii) no such Lien shall be required to be granted as contemplated by this Subsection 7.9 on any owned real property or fixtures the acquisition of which is, or is to be, financed or refinanced, in whole or in part through the incurrence of Indebtedness, until such Indebtedness is repaid in full (and not refinanced) or, as the case may be, the Parent Borrower determines not to proceed with such financing or refinancing. In connection with any such grant to the Collateral Agent, for the benefit of the Secured Parties, of a Lien of record on any such real property in accordance with this Subsection 7.9 , the Parent Borrower or such Restricted Subsidiary shall deliver or cause to be delivered to the Collateral Agent any surveys, title insurance policies, environmental reports and other documents in connection with such grant of such Lien obtained by it in connection with the acquisition of such ownership rights in such real property or as the Collateral Agent shall reasonably request (in light of the value of such real property and the cost and availability of such surveys, title insurance policies, environmental reports and other documents and whether the delivery of such surveys, title insurance policies, environmental reports and other documents would be customary in connection with such grant of such Lien in similar circumstances).	Subsidiaries
The Company and the Subsidiaries have, or have rights to use, all patents, patent applications, trademarks, trademark applications, service marks, trade names, trade secrets, inventions, copyrights, licenses and other intellectual property rights and similar rights necessary or required for use in connection with their respective businesses as described in the SEC Reports and which the failure to so have could reasonably be expected to have a Material Adverse Effect (collectively, the “ Intellectual Property Rights ”).  None of, and neither the Company nor any Subsidiary has received a notice (written or otherwise) that any of, the Intellectual Property Rights has expired, terminated or been abandoned, or is expected to expire or terminate or be abandoned, within two (2) years from the date of this Agreement.  Neither the Company nor any Subsidiary has received, since the date of the latest audited financial statements included within the SEC Reports, a written notice of a claim or otherwise has any knowledge that the Intellectual Property Rights violate or infringe upon the rights of any Person, except as do not have or would not reasonably be expected to have a Material Adverse Effect.  To the knowledge of the Company, all such Intellectual Property Rights are enforceable and there is no existing infringement by another Person of any of the Intellectual Property Rights.  The Company and its Subsidiaries have taken reasonable security measures to protect the secrecy, confidentiality and value of all of their intellectual properties, except where failure to do so could not, individually or in the aggregate, reasonably be expected to have a Material Adverse Effect.	Intellectual Property
"The authorized capital of the Company consists of 100 Shares of Common Stock, par value $.00001, of which a total of 100 shares are issued and outstanding (the "" Issued and Outstanding Common Stock "") of the Company (the "" Issued and Outstanding Shares "") The Issued and Outstanding Shares has been duly authorized, issued, fully paid and nonassessable, free and clear of all liens, charges, pledges, security interests, Encumbrances, right of first refusal, preemptive right or other restriction. No person, firm or corporation has any right, agreement, warrant or option, present or future, contingent or absolute, or any right capable of becoming a right, agreement or option to require the Company to issue any Shares in its capital or to convert any securities of the Company or of any other company into Shares in the capital of the Company."	Capitalization
