	text	label
10	"Context: A small software firm has four offices, numbered 1, 2, 3, and 4. Each of its offices has exactly one computer and exactly one printer. Each of these eight machines was bought in either 1987, 1988, or 1989. The eight machines were bought in a manner consistent with the following conditions: The computer in each office was bought either in an earlier year than or in the same year as the printer in that office. The computer in office 2 and the printer in office 1 were bought in the same year. The computer in office 3 and the printer in office 4 were bought in the same year. The computer in office 2 and the computer in office 3 were bought in different years. The computer in office 1 and the printer in office 3 were bought in 1988. 
 Question: If the computer in office 4 was bought in 1988, then which one of the following statements must be true? 
 (0) The printer in office 1 was bought in 1988. (1) The printer in office 1 was bought in 1989. (2) The computer in office 2 was bought in 1988. (3) The computer in office 3 was bought in 1987. (4) The printer in office 4 was bought in 1989. 
 Answer:"	(1) The printer in office 1 was bought in 1989.
11	"Context: A small software firm has four offices, numbered 1, 2, 3, and 4. Each of its offices has exactly one computer and exactly one printer. Each of these eight machines was bought in either 1987, 1988, or 1989. The eight machines were bought in a manner consistent with the following conditions: The computer in each office was bought either in an earlier year than or in the same year as the printer in that office. The computer in office 2 and the printer in office 1 were bought in the same year. The computer in office 3 and the printer in office 4 were bought in the same year. The computer in office 2 and the computer in office 3 were bought in different years. The computer in office 1 and the printer in office 3 were bought in 1988. 
 Question: If the computer in office 3 was bought in 1988, then which one of the following statements could be true? 
 (0) The printer in office 1 was bought in 1988. (1) The computer in office 2 was bought in 1987. (2) The printer in office 2 was bought in 1988. (3) The computer in office 4 was bought in 1987. (4) The printer in office 4 was bought in 1989. 
 Answer:"	(3) The computer in office 4 was bought in 1987.
12	"Context: A small software firm has four offices, numbered 1, 2, 3, and 4. Each of its offices has exactly one computer and exactly one printer. Each of these eight machines was bought in either 1987, 1988, or 1989. The eight machines were bought in a manner consistent with the following conditions: The computer in each office was bought either in an earlier year than or in the same year as the printer in that office. The computer in office 2 and the printer in office 1 were bought in the same year. The computer in office 3 and the printer in office 4 were bought in the same year. The computer in office 2 and the computer in office 3 were bought in different years. The computer in office 1 and the printer in office 3 were bought in 1988. 
 Question: Suppose that the computer in office 2 and the computer in office 3 had been bought in the same year as each other. If all of the other conditions remained the same, then which one of the following machines could have been bought in 1989? 
 (0) the printer in office 1 (1) the computer in office 2 (2) the printer in office 2 (3) the computer in office 4 (4) the printer in office 4 
 Answer:"	(2) the printer in office 2
13	"Context: The eight partners of a law firm are Gregg, Hodges, Ivan, James, King, MacNeil, Nader, and Owens. In each of the years 1961 through 1968, exactly one of the partners joined the firm. Hodges joined the firm before Nader. King joined the firm before James. Nader and James joined the firm before Gregg. Nader joined the firm before Owens. James joined the firm before MacNeil. Gregg joined the firm before Ivan. 
 Question: Which one of the following CANNOT be true? 
 (0) Hodges joined the law firm in 1961. (1) Hodges joined the law firm in 1963. (2) Gregg joined the law firm in 1964. (3) MacNeil joined the law firm in 1964. (4) Owens joined the law firm in 1964. 
 Answer:"	(2) Gregg joined the law firm in 1964.
14	"Context: The eight partners of a law firm are Gregg, Hodges, Ivan, James, King, MacNeil, Nader, and Owens. In each of the years 1961 through 1968, exactly one of the partners joined the firm. Hodges joined the firm before Nader. King joined the firm before James. Nader and James joined the firm before Gregg. Nader joined the firm before Owens. James joined the firm before MacNeil. Gregg joined the firm before Ivan. 
 Question: If James joined the firm in 1962, which one of the following CANNOT be true? 
 (0) Hodges joined the firm in 1963. (1) MacNeil joined the firm in 1963. (2) Hodges joined the firm in 1964. (3) Nader joined the firm in 1964. (4) Owens joined the firm in 1964. 
 Answer:"	(4) Owens joined the firm in 1964.
15	"Context: The eight partners of a law firm are Gregg, Hodges, Ivan, James, King, MacNeil, Nader, and Owens. In each of the years 1961 through 1968, exactly one of the partners joined the firm. Hodges joined the firm before Nader. King joined the firm before James. Nader and James joined the firm before Gregg. Nader joined the firm before Owens. James joined the firm before MacNeil. Gregg joined the firm before Ivan. 
 Question: Of the following, which one is the latest year in which James could have joined the firm? 
 (0) 1962 (1) 1963 (2) 1964 (3) 1965 (4) 1966 
 Answer:"	(3) 1965
16	"Context: The eight partners of a law firm are Gregg, Hodges, Ivan, James, King, MacNeil, Nader, and Owens. In each of the years 1961 through 1968, exactly one of the partners joined the firm. Hodges joined the firm before Nader. King joined the firm before James. Nader and James joined the firm before Gregg. Nader joined the firm before Owens. James joined the firm before MacNeil. Gregg joined the firm before Ivan. 
 Question: If Owens joined the firm in 1965 and MacNeil joined it in 1967, one can determine the years in which exactly how many of the other partners joined the firm? 
 (0) 1 (1) 2 (2) 3 (3) 4 (4) 5 
 Answer:"	(1) 2
17	"Context: The eight partners of a law firm are Gregg, Hodges, Ivan, James, King, MacNeil, Nader, and Owens. In each of the years 1961 through 1968, exactly one of the partners joined the firm. Hodges joined the firm before Nader. King joined the firm before James. Nader and James joined the firm before Gregg. Nader joined the firm before Owens. James joined the firm before MacNeil. Gregg joined the firm before Ivan. 
 Question: Assume that Owens joined the law firm before MacNeil. Of the following, which one is the earliest year in which MacNeil could have joined it? 
 (0) 1963 (1) 1964 (2) 1965 (3) 1966 (4) 1967 
 Answer:"	(3) 1966
18	"Context: A railway company has exactly three lines: line 1, line 2, and line 3. The company prints three sets of tickets for January and three sets of tickets for February: one set for each of its lines for each of the two months. The company's tickets are printed in a manner consistent with the following conditions: Each of the six sets of tickets is exactly one of the following colors: green, purple, red, yellow. For each line, the January tickets are a different color than the February tickets. For each month, tickets for different lines are in different colors. Exactly one set of January tickets is red. For line 3, either the January tickets or the February tickets, but not both, are green. The January tickets for line 2 are purple. No February tickets are purple. 
 Question: If the line 3 tickets for January are red, then which one of the following statements must be true? 
 (0) The line 1 tickets for January are green. (1) The line 1 tickets for January are yellow. (2) The line 1 tickets for February are red. (3) The line 2 tickets for February are yellow. (4) The line 3 tickets for February are green. 
 Answer:"	(4) The line 3 tickets for February are green.
19	"Context: A railway company has exactly three lines: line 1, line 2, and line 3. The company prints three sets of tickets for January and three sets of tickets for February: one set for each of its lines for each of the two months. The company's tickets are printed in a manner consistent with the following conditions: Each of the six sets of tickets is exactly one of the following colors: green, purple, red, yellow. For each line, the January tickets are a different color than the February tickets. For each month, tickets for different lines are in different colors. Exactly one set of January tickets is red. For line 3, either the January tickets or the February tickets, but not both, are green. The January tickets for line 2 are purple. No February tickets are purple. 
 Question: If one set of the line 2 tickets is green, then which one of the following statements must be true? 
 (0) The line 1 tickets for January are red. (1) The line 3 tickets for January are red. (2) The line 1 tickets for February are red. (3) The line 3 tickets for February are green. (4) The line 3 tickets for February are yellow. 
 Answer:"	(0) The line 1 tickets for January are red.
20	"Context: A railway company has exactly three lines: line 1, line 2, and line 3. The company prints three sets of tickets for January and three sets of tickets for February: one set for each of its lines for each of the two months. The company's tickets are printed in a manner consistent with the following conditions: Each of the six sets of tickets is exactly one of the following colors: green, purple, red, yellow. For each line, the January tickets are a different color than the February tickets. For each month, tickets for different lines are in different colors. Exactly one set of January tickets is red. For line 3, either the January tickets or the February tickets, but not both, are green. The January tickets for line 2 are purple. No February tickets are purple. 
 Question: Which one of the following statements could be true? 
 (0) No January ticket is green. (1) No February ticket is green. (2) Only line 2 tickets are red. (3) One set of January tickets is green and one set of January tickets is yellow. (4) The line 2 tickets for January are the same color as the line 1 tickets for February. 
 Answer:"	(0) No January ticket is green.
21	"Context: A railway company has exactly three lines: line 1, line 2, and line 3. The company prints three sets of tickets for January and three sets of tickets for February: one set for each of its lines for each of the two months. The company's tickets are printed in a manner consistent with the following conditions: Each of the six sets of tickets is exactly one of the following colors: green, purple, red, yellow. For each line, the January tickets are a different color than the February tickets. For each month, tickets for different lines are in different colors. Exactly one set of January tickets is red. For line 3, either the January tickets or the February tickets, but not both, are green. The January tickets for line 2 are purple. No February tickets are purple. 
 Question: Which one of the following statements could be true? 
 (0) Both the line 1 tickets for January and the line 2 tickets for February are green. (1) Both the line 1 tickets for January and the line 2 tickets for February are yellow. (2) Both the line 1 tickets for January and the line 3 tickets for February are yellow. (3) The line 1 tickets for January are green, and the line 3 tickets for February are red. (4) The line 3 tickets for January are yellow, and the line 1 tickets for February are red. 
 Answer:"	(1) Both the line 1 tickets for January and the line 2 tickets for February are yellow.
22	"Context: A railway company has exactly three lines: line 1, line 2, and line 3. The company prints three sets of tickets for January and three sets of tickets for February: one set for each of its lines for each of the two months. The company's tickets are printed in a manner consistent with the following conditions: Each of the six sets of tickets is exactly one of the following colors: green, purple, red, yellow. For each line, the January tickets are a different color than the February tickets. For each month, tickets for different lines are in different colors. Exactly one set of January tickets is red. For line 3, either the January tickets or the February tickets, but not both, are green. The January tickets for line 2 are purple. No February tickets are purple. 
 Question: If the line 3 tickets for February are yellow, then each of the following statements must be true EXCEPT: 
 (0) One set of January tickets is green. (1) One set of line 1 tickets is red. (2) One set of line 2 tickets is red. (3) The tickets in two of the six sets are red. (4) The tickets in two of the six sets are yellow. 
 Answer:"	(4) The tickets in two of the six sets are yellow.
23	"Context: A railway company has exactly three lines: line 1, line 2, and line 3. The company prints three sets of tickets for January and three sets of tickets for February: one set for each of its lines for each of the two months. The company's tickets are printed in a manner consistent with the following conditions: Each of the six sets of tickets is exactly one of the following colors: green, purple, red, yellow. For each line, the January tickets are a different color than the February tickets. For each month, tickets for different lines are in different colors. Exactly one set of January tickets is red. For line 3, either the January tickets or the February tickets, but not both, are green. The January tickets for line 2 are purple. No February tickets are purple. 
 Question: Suppose that none of the ticket sets are purple. If all of the other conditions remain the same, then which one of the following statements could be true? 
 (0) None of the January tickets are green. (1) None of the February tickets are green. (2) None of the line 2 tickets are green. (3) No line 1 or line 2 tickets are yellow. (4) No line 2 or line 3 tickets are red. 
 Answer:"	(2) None of the line 2 tickets are green.
24	"Context: The Mammoth Corporation has just completed hiring nine new workers: Brandt, Calva, Duvall, Eberle, Fu, Garcia, Haga, Irving, and Jessup. Fu and Irving were hired on the same day as each other, and no one else was hired that day. Calva and Garcia were hired on the same day as each other, and no one else was hired that day. On each of the other days of hiring, exactly one worker was hired. Eberle was hired before Brandt. Haga was hired before Duvall. Duvall was hired after Irving but before Eberle. Garcia was hired after both Jessup and Brandt. Brandt was hired before Jessup. 
 Question: Who were the last two workers to be hired? 
 (0) Eberle and Jessup (1) Brandt and Garcia (2) Brandt and Calva (3) Garcia and Calva (4) Jessup and Brandt 
 Answer:"	(3) Garcia and Calva
25	"Context: The Mammoth Corporation has just completed hiring nine new workers: Brandt, Calva, Duvall, Eberle, Fu, Garcia, Haga, Irving, and Jessup. Fu and Irving were hired on the same day as each other, and no one else was hired that day. Calva and Garcia were hired on the same day as each other, and no one else was hired that day. On each of the other days of hiring, exactly one worker was hired. Eberle was hired before Brandt. Haga was hired before Duvall. Duvall was hired after Irving but before Eberle. Garcia was hired after both Jessup and Brandt. Brandt was hired before Jessup. 
 Question: Who was hired on the fourth day of hiring? 
 (0) Eberle (1) Brandt (2) Irving (3) Garcia (4) Jessup 
 Answer:"	(0) Eberle
26	"Context: The Mammoth Corporation has just completed hiring nine new workers: Brandt, Calva, Duvall, Eberle, Fu, Garcia, Haga, Irving, and Jessup. Fu and Irving were hired on the same day as each other, and no one else was hired that day. Calva and Garcia were hired on the same day as each other, and no one else was hired that day. On each of the other days of hiring, exactly one worker was hired. Eberle was hired before Brandt. Haga was hired before Duvall. Duvall was hired after Irving but before Eberle. Garcia was hired after both Jessup and Brandt. Brandt was hired before Jessup. 
 Question: Exactly how many workers were hired before Jessup? 
 (0) 6 (1) 5 (2) 4 (3) 3 (4) 2 
 Answer:"	(0) 6
27	"Context: The Mammoth Corporation has just completed hiring nine new workers: Brandt, Calva, Duvall, Eberle, Fu, Garcia, Haga, Irving, and Jessup. Fu and Irving were hired on the same day as each other, and no one else was hired that day. Calva and Garcia were hired on the same day as each other, and no one else was hired that day. On each of the other days of hiring, exactly one worker was hired. Eberle was hired before Brandt. Haga was hired before Duvall. Duvall was hired after Irving but before Eberle. Garcia was hired after both Jessup and Brandt. Brandt was hired before Jessup. 
 Question: Which one of the following must be true? 
 (0) Duvall was the first worker to be hired. (1) Haga was the first worker to be hired. (2) Fu and Irving were the first two workers to be hired. (3) Haga and Fu were the first two workers to be hired. (4) Either Haga was the first worker to be hired or Fu and Irving were the first two workers to be hired. 
 Answer:"	(4) Either Haga was the first worker to be hired or Fu and Irving were the first two workers to be hired.
28	"Context: The Mammoth Corporation has just completed hiring nine new workers: Brandt, Calva, Duvall, Eberle, Fu, Garcia, Haga, Irving, and Jessup. Fu and Irving were hired on the same day as each other, and no one else was hired that day. Calva and Garcia were hired on the same day as each other, and no one else was hired that day. On each of the other days of hiring, exactly one worker was hired. Eberle was hired before Brandt. Haga was hired before Duvall. Duvall was hired after Irving but before Eberle. Garcia was hired after both Jessup and Brandt. Brandt was hired before Jessup. 
 Question: If Eberle was hired on a Monday, what is the earliest day on which Garcia could have been hired? 
 (0) Monday (1) Tuesday (2) Wednesday (3) Thursday (4) Friday 
 Answer:"	(3) Thursday
29	"Context: An apartment building has five floors. Each floor has either one or two apartments. There are exactly eight apartments in the building. The residents of the building are J, K, L, M, N, O, P, and Q, who each live in a different apartment. J lives on a floor with two apartments. K lives on the floor directly above P. The second floor is made up of only one apartment. M and N live on the same floor. O does not live on the same floor as Q. L lives in the only apartment on her floor. Q does not live on the first or second floor. 
 Question: Which one of the following must be true? 
 (0) Q lives on the third floor. (1) Q lives on the fifth floor. (2) L does not live on the fourth floor. (3) N does not live on the second floor. (4) J lives on the first floor. 
 Answer:"	(3) N does not live on the second floor.
30	"Context: An apartment building has five floors. Each floor has either one or two apartments. There are exactly eight apartments in the building. The residents of the building are J, K, L, M, N, O, P, and Q, who each live in a different apartment. J lives on a floor with two apartments. K lives on the floor directly above P. The second floor is made up of only one apartment. M and N live on the same floor. O does not live on the same floor as Q. L lives in the only apartment on her floor. Q does not live on the first or second floor. 
 Question: Which one of the following CANNOT be true? 
 (0) K lives on the second floor. (1) M lives on the first floor. (2) N lives on the fourth floor. (3) O lives on the third floor. (4) P lives on the fifth floor. 
 Answer:"	(4) P lives on the fifth floor.
31	"Context: An apartment building has five floors. Each floor has either one or two apartments. There are exactly eight apartments in the building. The residents of the building are J, K, L, M, N, O, P, and Q, who each live in a different apartment. J lives on a floor with two apartments. K lives on the floor directly above P. The second floor is made up of only one apartment. M and N live on the same floor. O does not live on the same floor as Q. L lives in the only apartment on her floor. Q does not live on the first or second floor. 
 Question: If J lives on the fourth floor and K lives on the fifth floor, which one of the following can be true? 
 (0) O lives on the first floor. (1) Q lives on the fourth floor. (2) N lives on the fifth floor. (3) L lives on the fourth floor. (4) P lives on the third floor. 
 Answer:"	(0) O lives on the first floor.
32	"Context: An apartment building has five floors. Each floor has either one or two apartments. There are exactly eight apartments in the building. The residents of the building are J, K, L, M, N, O, P, and Q, who each live in a different apartment. J lives on a floor with two apartments. K lives on the floor directly above P. The second floor is made up of only one apartment. M and N live on the same floor. O does not live on the same floor as Q. L lives in the only apartment on her floor. Q does not live on the first or second floor. 
 Question: If O lives on the second floor, which one of the following CANNOT be true? 
 (0) K lives on the fourth floor. (1) K lives on the fifth floor. (2) L lives on the first floor. (3) L lives on the third floor. (4) L lives on the fourth floor. 
 Answer:"	(4) L lives on the fourth floor.
33	"Context: An apartment building has five floors. Each floor has either one or two apartments. There are exactly eight apartments in the building. The residents of the building are J, K, L, M, N, O, P, and Q, who each live in a different apartment. J lives on a floor with two apartments. K lives on the floor directly above P. The second floor is made up of only one apartment. M and N live on the same floor. O does not live on the same floor as Q. L lives in the only apartment on her floor. Q does not live on the first or second floor. 
 Question: If M lives on the fourth floor, which one of the following must be false? 
 (0) O lives on the fifth floor. (1) J lives on the first floor. (2) L lives on the second floor. (3) Q lives on the third floor. (4) P lives on the first floor. 
 Answer:"	(2) L lives on the second floor.
34	"Context: An apartment building has five floors. Each floor has either one or two apartments. There are exactly eight apartments in the building. The residents of the building are J, K, L, M, N, O, P, and Q, who each live in a different apartment. J lives on a floor with two apartments. K lives on the floor directly above P. The second floor is made up of only one apartment. M and N live on the same floor. O does not live on the same floor as Q. L lives in the only apartment on her floor. Q does not live on the first or second floor. 
 Question: Which one of the following must be true? 
 (0) If J lives on the fourth floor, then Q does not live on the fifth floor. (1) If O lives on the second floor, then L does not live on the fourth floor. (2) If N lives on the fourth floor, then K does not live on the second floor. (3) If K lives on the third floor, then O does not live on the fifth floor. (4) If P lives on the fourth floor, then M does not live on the third floor. 
 Answer:"	(1) If O lives on the second floor, then L does not live on the fourth floor.
35	"Context: An apartment building has five floors. Each floor has either one or two apartments. There are exactly eight apartments in the building. The residents of the building are J, K, L, M, N, O, P, and Q, who each live in a different apartment. J lives on a floor with two apartments. K lives on the floor directly above P. The second floor is made up of only one apartment. M and N live on the same floor. O does not live on the same floor as Q. L lives in the only apartment on her floor. Q does not live on the first or second floor. 
 Question: If O lives on the fourth floor and P lives on the second floor, which one of the following must be true? 
 (0) L lives on the first floor. (1) M lives on the third floor. (2) Q lives on the third floor. (3) N lives on the fifth floor. (4) Q lives on the fifth floor. 
 Answer:"	(2) Q lives on the third floor.
36	"Context: Hannah spends 14 days, exclusive of travel time, in a total of six cities. Each city she visits is in one of three countries—X, Y, or Z. Each of the three countries has many cities. Hannah visits at least one city in each of the three countries. She spends at least two days in each city she visits. She spends only whole days in any city. 
 Question: If Hannah spends exactly eight days in the cities of country X, then which one of the following CANNOT be true? 
 (0) She visits exactly two cities in country X. (1) She visits exactly two cities in country Y. (2) She visits exactly two cities in country Z. (3) She visits more cities in country Y than in country Z. (4) She visits more cities in country Z than in country Y. 
 Answer:"	(0) She visits exactly two cities in country X.
37	"Context: Hannah spends 14 days, exclusive of travel time, in a total of six cities. Each city she visits is in one of three countries—X, Y, or Z. Each of the three countries has many cities. Hannah visits at least one city in each of the three countries. She spends at least two days in each city she visits. She spends only whole days in any city. 
 Question: If Hannah visits an equal number of cities in each of the countries, what is the greatest total number of days she can spend visiting cities in country X? 
 (0) 3 (1) 4 (2) 5 (3) 6 (4) 7 
 Answer:"	(3) 6
38	"Context: Hannah spends 14 days, exclusive of travel time, in a total of six cities. Each city she visits is in one of three countries—X, Y, or Z. Each of the three countries has many cities. Hannah visits at least one city in each of the three countries. She spends at least two days in each city she visits. She spends only whole days in any city. 
 Question: If Hannah spends three days in the cities of country Y and seven days in the cities of country Z, then which one of the following must be false? 
 (0) She visits more cities in country X than in country Y. (1) She visits exactly two cities in country X. (2) She visits more cities in country Z than in country X. (3) She visits exactly two cities in country Z. (4) She visits exactly three cities in country Z. 
 Answer:"	(3) She visits exactly two cities in country Z.
39	"Context: Hannah spends 14 days, exclusive of travel time, in a total of six cities. Each city she visits is in one of three countries—X, Y, or Z. Each of the three countries has many cities. Hannah visits at least one city in each of the three countries. She spends at least two days in each city she visits. She spends only whole days in any city. 
 Question: If the city of Nomo is in country X, and if Hannah spends as many days as possible in Nomo and as few days as possible in each of the other cities that she visits, then which one of the following must be true? 
 (0) Hannah cannot visit any other cities in country X. (1) Hannah can visit four cities in country Y. (2) Hannah can spend six days in Nomo. (3) Hannah cannot spend more than four days in country Z. (4) Hannah can visit, at most, a total of four cities in countries Y and Z. 
 Answer:"	(1) Hannah can visit four cities in country Y.
40	"Context: Hannah spends 14 days, exclusive of travel time, in a total of six cities. Each city she visits is in one of three countries—X, Y, or Z. Each of the three countries has many cities. Hannah visits at least one city in each of the three countries. She spends at least two days in each city she visits. She spends only whole days in any city. 
 Question: If Hannah visits a combined total of four cities in countries X and Y, what is the greatest total number of days she can spend visiting cities in country Y? 
 (0) 6 (1) 7 (2) 8 (3) 9 (4) 10 
 Answer:"	(2) 8
41	"Context: Exactly six dogs—P, Q, R, S, T, and U—are entered in a dog show. The judge of the show awards exactly four ribbons, one for each of first, second, third, and fourth places, to four of the dogs. The information that follows is all that is available about the six dogs: Each dog is either a greyhound or a labrador, but not both. Two of the six dogs are female and four are male. The judge awards ribbons to both female dogs, exactly one of which is a labrador. Exactly one labrador wins a ribbon. Dogs P and R place ahead of dog S, and dog S places ahead of dogs Q and T. Dogs P and R are greyhounds. Dogs S and U are labradors. 
 Question: Which one of the following is a complete and accurate list of the dogs that can be greyhounds? 
 (0) P, Q (1) P, R (2) P, Q, R (3) P, R, T (4) P, Q, R, T 
 Answer:"	(4) P, Q, R, T
